Currency,year,value
US dollar,2024,57.7892233155458
Pound sterling,2024,4.73077515403296
French franc,2024,
Dutch guilder,2024,
Japanese yen,2024,5.81468456172797
Swiss franc,2024,0.175353560810768
Australian dollar,2024,2.0553976991916
Chinese yuan renminbi,2024,2.17519906698956
ECU,2024,
Deutsche mark,2024,
Canadian dollar,2024,2.77123204855356
