sect_name,t,source,region,sect_group,gvc,traditional,traditional_jpn.x,traditional_jpn.y
12-Electrical and Optical Equipment,2000,wiodlr,GRC,Manufacturing,0,0,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,HKG,Manufacturing,1.38751185294454,0.428629419983993,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,IND,Manufacturing,0.196653566437313,0.15600693488907,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,IRL,Manufacturing,1.67214004131109,1.22220687032977,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,ITA,Manufacturing,0.466350508083418,0.468326976573716,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,JPN,Manufacturing,1.84365078734882,1.84003197264237,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,KOR,Manufacturing,1.74600162683269,1.81908021912753,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,MEX,Manufacturing,2.20980457205102,1.31012941081822,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,NLD,Manufacturing,0.46455306473686,0.538121106350996,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,PRT,Manufacturing,0.79625086701478,0.455027316328031,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,SWE,Manufacturing,0.869627229590732,0.942228950792478,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,TWN,Manufacturing,2.37854557551393,2.2773345892361,1.84003197264237,1.84003197264237
12-Electrical and Optical Equipment,2000,wiodlr,USA,Manufacturing,1.18879143488517,1.12781834643087,1.84003197264237,1.84003197264237
13-Transport Equipment,1970,wiodlr,AUS,Manufacturing,0.0300396885288575,0.0267117773983337,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,AUT,Manufacturing,0.352718363708235,0.368898364824911,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,BEL,Manufacturing,1.02933195383426,0.879389743987972,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,BRA,Manufacturing,0.0152408229015237,0.0112518696922689,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,CAN,Manufacturing,2.63478908447801,1.59267665236476,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,CHN,Manufacturing,0.00857673306571478,0.016850077631793,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,DEU,Manufacturing,1.1734619607591,1.78281166100268,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,DNK,Manufacturing,0.357623333970694,0.248495105032506,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,ESP,Manufacturing,0.235075902128613,0.213053657775298,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,FIN,Manufacturing,0.279648183874625,0.273973315087175,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,FRA,Manufacturing,0.881569194858957,1.05888268406921,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,GBR,Manufacturing,0.871504486258412,0.998527027905052,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,GRC,Manufacturing,0,0,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,HKG,Manufacturing,0.131630105782743,0.0570296035622208,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,IND,Manufacturing,0.0289181304014831,0.0152353930168393,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,IRL,Manufacturing,0.218108103315964,0.10848886317557,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,ITA,Manufacturing,0.596754951062131,0.816311304472072,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,JPN,Manufacturing,0.493155952253907,1.16468167427719,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,KOR,Manufacturing,0.0157257441960458,0.0230505434421453,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,MEX,Manufacturing,0.254599866009663,0.157808599546398,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,NLD,Manufacturing,0.327679539034107,0.289522428884931,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,PRT,Manufacturing,0.096314077331441,0.0426278723462363,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,SWE,Manufacturing,0.793950114750466,1.03616349543884,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,TWN,Manufacturing,0.106973799924049,0.120821318271485,1.16468167427719,1.16468167427719
13-Transport Equipment,1970,wiodlr,USA,Manufacturing,1.64417763173068,1.07907045541,1.16468167427719,1.16468167427719
13-Transport Equipment,1990,wiodlr,AUS,Manufacturing,0.158915594382154,0.127592970266269,2.07126202745314,2.07126202745314
